cluster_id,jumlah_komentar,tema,ringkasan
misc,40.0,Krisis Air PDAM,"Masyarakat di beberapa daerah mengeluhkan kekurangan air bersih dan gangguan pasokan air, serta menuntut solusi yang efektif dan cepat untuk mengatasi masalah ini. Mereka juga mengungkapkan kekecewaan dan kekhawatiran atas kematian PDAM Kebraon dan kekurangan informasi yang akurat tentang kondisi air."
202,24.0,Ketersediaan Air Bersih,"Masyarakat mengeluhkan berbagai masalah yang mereka hadapi, seperti kekurangan penerangan, keterlambatan sinyal internet atau listrik, kekurangan air, dan kebocoran listrik. Mereka juga mengungkapkan kekecewaan dan kekhawatiran terhadap kinerja PDAM Surya Sembada dan pemerintah dalam menyelesaikan masalah infrastruktur dan penyediaan air yang tidak memadai."
638,24.0,Kerusakan Air PDAM,"Masyarakat mengungkapkan kekecewaan dan kekhawatiran atas ketersediaan air bersih yang semakin langka dan tidak terjamin, serta gangguan layanan air yang sering terjadi di berbagai wilayah. Komentar-komentar tersebut menunjukkan perasaan sedih, kehilangan, kekecewaan, dan kekhawatiran yang mendalam terhadap situasi yang tidak adil, tidak masuk akal, dan tidak berubah."
424,18.0,Kebraon Air Mati,"Ringkasan akhir: Masyarakat mengungkapkan kekecewaan dan kekhawatiran atas kondisi air di Kebraon yang telah mengalami penurunan kualitas atau kekurangan, serta kejadian yang tidak terduga dan tidak masuk akal. Komentar-komentar tersebut menunjukkan kekecewaan, kekhawatiran, dan kemarahan masyarakat terhadap kondisi air yang tidak bergerak atau mati."
836,9.0,Kurangnya Air Bersih,"Masyarakat mengungkapkan kekecewaan dan kebingungan terhadap berbagai masalah yang dihadapi, seperti kekurangan listrik, ketersediaan air yang tidak memadai, dan kualitas air yang tidak baik. Mereka juga menantikan perubahan dan peningkatan kondisi yang lebih baik dalam berbagai aspek kehidupan, seperti politik, ekonomi, dan sosial."
664,6.0,Kerusuhan Air Sememi,"Komentar-komentar di atas mengungkapkan kekecewaan dan kehilangan harapan masyarakat terhadap kondisi yang tidak memuaskan, seperti keterpurukan kondisi air di Indonesia, yang menyebabkan kesedihan dan kepanikan di kalangan masyarakat. Kondisi ini menunjukkan kekecewaan dan kekhawatiran masyarakat terhadap pelayanan atau kualitas suatu produk atau jasa yang tidak memenuhi harapan mereka."
268,6.0,Ketersediaan Air,"Masyarakat mengeluh tentang kekurangan air yang dialami karena tidak adanya keluarnya air dari sumber yang diharapkan, seperti PDAM Surya Sembada, yang telah menimbulkan kekecewaan dan kehilangan harapan. Kondisi ini telah berulang dan menimbulkan kesan bahwa masalah ini belum teratasi."
513,5.0,Selamat Hari Sumpah Pemuda,"Masyarakat berbahasa Indonesia mengungkapkan kegembiraan dan kebanggaan atas Hari Sumpah Pemuda, sebuah peristiwa penting dalam sejarah Indonesia yang menandai awal pergerakan kemerdekaan dan identitas bangsa. Mereka mengekspresikan rasa syukur dan kebanggaan atas perjuangan para pemuda yang telah memperjuangkan kemerdekaan Indonesia."
588,5.0,Gangguan yang mengganggu,"Komentar-komentar di atas menunjukkan kekecewaan dan frustrasi masyarakat terhadap gangguan yang terus-menerus dan tidak stabil, yang menyebabkan kebisingan dan gangguan lainnya. Mereka merasa bahwa situasi ini tidak dapat diprediksi dan tidak dapat diandalkan, sehingga memerlukan tindakan untuk mengatasi masalah tersebut."
635,5.0,Kondisi Lingkungan Benowo,"Masyarakat mengungkapkan kekecewaan dan kekhawatiran atas kondisi lingkungan di Danau Benowo yang mengalami kekeringan dan kerusakan parah, sehingga memerlukan perhatian serius dari pihak berwenang. Kondisi ini menunjukkan kekhawatiran akan dampak kekeringan pada lingkungan dan kehidupan masyarakat setempat."
